Pipeline,From,To,Length,Diameter,Capacity,Operator
Europipe I,Draupner E,Dornum/Emden,620 km,"40""",45.7 mill,Gassco
Europipe II,Kårstø,Dornum,658 km,"42""","73,5 mill",Gassco
Franpipe,Draupner E,Dunkerque,840 km,42”,54.2 mill,Gassco
Gjøa,Gjøa,FLAGS,131 km,28”,"18,2 mill",Gassco
Haltenpipe,Heidrun,Tjeldbergodden,250 km,"16""","4,7",Gassco
Kvitebjørn,Kvitebjørn,Kollsnes,147 km,"30""","33,5 mill",Gassco
Langeled North,Nyhamna,Sleipner,627 km,"42""",74.7 mill,Gassco
Langeled South,Sleipner,Easington,523 km,"44""","73,8 mill",Gassco
Norne,Norne,Heidrun,128 km,"16""",11,Gassco
Norpipe,Ekofisk,Emden,440 km,"36""",44.4 mill,Gassco
OGT,Oseberg,Heimdal,109 km,36”,35 mill,Gassco
Polarled,Aasta Hansteen,Nyhamna,482 km,"36""","57,6 mill",Gassco
Statpipe,Kårstø / Draupner S / Heimdal,Draupner S / Ekofisk Y / Draupner S,228 / 203 / 155 km,28” / 36” / 36”,21.1 / 44.4 / 30.7 mill,Gassco
Tampen Link,Statfjord,FLAGS,23 km,"32""",25.0 mill,Gassco
Vesterled,Heimdal,St Fergus,360 km,"32""",36.9 mill,Gassco
Zeepipe,Sleipner,Draupner S / Zeebrugge,30km / 814km,40”,55.0 / 42.2 mill,Gassco
Ormen Lange,Ormen Lange,Nyhamna,120 km,30,,Shell
Zeepipe II A,Kollsnes,Sleipner,300 km,40,,
Zeepipe II B,Kollsnes,Draupner E,300 km,40,,Gassco
